Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector,X_Tilt,Y_Tilt,Z_Tilt
1,14:37:02,-0.2,-0.125,-0.975,1.003,78.5,82.8,12.8
2,14:37:03,-0.2,-0.2,-1.075,1.112,78.5,78.5,0
3,14:37:04,-0.225,-0.225,-1.1,1.145,77,77,0
4,14:37:05,0.025,-0.425,-1.175,1.25,91.4,64.8,0
5,14:37:06,-0.125,1.25,-1.025,1.621,82.8,180,0
6,14:37:07,-0.3,0.4,0.85,0.986,72.5,113.6,148.2
7,14:37:08,0.4,0.25,0.85,0.972,113.6,104.5,148.2
8,14:37:09,0.175,-0.275,1.1,1.147,100.1,74,180
9,14:37:10,-0.3,-0.575,1.025,1.213,72.5,54.9,180
10,14:37:11,-0.45,-0.325,1.1,1.232,63.3,71,180
11,14:37:12,-0.325,-0.325,0.8,0.923,71,71,143.1
12,14:37:13,-0.325,-0.225,0.625,0.74,71,77,128.7
13,14:37:14,-0.425,-0.275,0.65,0.824,64.8,74,130.5
14,14:37:15,-0.425,-0.4,0.95,1.115,64.8,66.4,161.8
15,14:37:16,0.025,-0.025,0.65,0.651,91.4,88.6,130.5
16,14:37:17,-0.15,-0.35,0.9,0.977,81.4,69.5,154.2
17,14:37:18,-1.25,-0.825,2.1,2.579,0,34.4,180
18,14:37:19,0.05,1.075,1,1.469,92.9,180,180
19,14:37:20,-0.375,-0.85,0.925,1.311,68,31.8,157.7
20,14:37:21,-0.275,-0.025,0.65,0.706,74,88.6,130.5
21,14:37:22,-0.75,0.85,0.5,1.239,41.4,148.2,120
22,14:37:23,-0.325,0.475,0.725,0.926,71,118.4,136.5
23,14:37:24,-0.175,-0.55,1,1.155,79.9,56.6,180
24,14:37:25,-0.1,0.25,1.025,1.06,84.3,104.5,180
25,14:37:26,-0.15,-0.2,1.125,1.152,81.4,78.5,180
26,14:37:27,-0.075,0.2,1.25,1.268,85.7,101.5,180
27,14:37:28,-0.3,0.175,0.975,1.035,72.5,100.1,167.2
28,14:37:29,-0.425,0.3,0.8,0.954,64.8,107.5,143.1
29,14:37:30,-1.3,0.2,0.475,1.398,0,101.5,118.4
30,14:37:31,-1,0.125,0.2,1.027,0,97.2,101.5
31,14:37:32,-0.675,0.05,-0.025,0.677,47.5,92.9,88.6
32,14:37:33,-1.05,0.225,0.375,1.137,0,103,112
33,14:37:34,-0.9,0.25,0.35,0.997,25.8,104.5,110.5
34,14:37:35,-0.075,0.375,-0.975,1.047,85.7,112,12.8
35,14:37:36,0.125,0.925,-0.225,0.96,97.2,157.7,77
36,14:37:37,-0.6,1,0.85,1.443,53.1,180,148.2
37,14:37:38,0.05,0.15,0.6,0.62,92.9,98.6,126.9
38,14:37:39,0.225,-0.325,0.95,1.029,103,71,161.8
39,14:37:40,-0.125,0.025,1.1,1.107,82.8,91.4,180
40,14:37:41,-0.125,0.25,0.8,0.847,82.8,104.5,143.1
41,14:37:42,-0.325,0.325,0.575,0.736,71,109,125.1
42,14:37:43,-0.425,-0.35,0.825,0.992,64.8,69.5,145.6
43,14:37:44,0.6,-0.25,0.575,0.868,126.9,75.5,125.1
44,14:37:45,0.45,-0.85,-0.525,1.096,116.7,31.8,58.3
45,14:37:46,0.1,-0.075,-1.1,1.107,95.7,85.7,0
46,14:37:47,0.1,-0.025,-1.125,1.13,95.7,88.6,0
