Num,Time,X_Accel,Y_Accel,Z_Accel,Sum_Vector ,X_Tilt,Y_Tilt,Z_Tilt
1,13:37:03,-0.375,0.375,-0.975,1.11,68,112,12.8
2,13:37:04,-0.375,0.65,-0.625,0.977,68,130.5,51.3
3,13:37:05,0.275,0.575,-0.925,1.123,106,125.1,22.3
4,13:37:06,0.3,0.225,-1.225,1.281,107.5,103,0
5,13:37:07,1.1,2.425,0.75,2.766,180,180,138.6
6,13:37:08,-0.525,0.825,-0.375,1.047,58.3,145.6,68
7,13:37:09,0.075,-0.225,-1.125,1.15,94.3,77,0
8,13:37:10,0.225,-0.15,-1.225,1.254,103,81.4,0
9,13:37:11,0.125,-0.125,-0.85,0.868,97.2,82.8,31.8
10,13:37:12,0.1,0.025,-1.025,1.03,95.7,91.4,0
11,13:37:13,0.025,0.5,-0.9,1.03,91.4,120,25.8
12,13:37:14,0.125,-0.025,-1.1,1.107,97.2,88.6,0
13,13:37:15,0.15,-0.025,-1.05,1.061,98.6,88.6,0
14,13:37:16,0.15,0,-1,1.011,98.6,90,0
15,13:37:17,0.175,0.025,-1,1.016,100.1,91.4,0
16,13:37:18,0.175,-0.025,-1.1,1.114,100.1,88.6,0
17,13:37:19,0.175,-0.025,-1.075,1.089,100.1,88.6,0
18,13:37:20,0.125,-0.025,-1.05,1.058,97.2,88.6,0
19,13:37:21,0.075,0,-1.025,1.028,94.3,90,0
20,13:37:22,0.075,-0.025,-1.1,1.103,94.3,88.6,0
21,13:37:23,0.15,-0.025,-1.075,1.086,98.6,88.6,0
22,13:37:24,0.175,0,-1.05,1.064,100.1,90,0
23,13:37:25,0.175,0,-1.05,1.064,100.1,90,0
24,13:37:26,0.15,0,-1.025,1.036,98.6,90,0
25,13:37:27,0.15,-0.075,-1.075,1.088,98.6,85.7,0
26,13:37:28,0.125,-0.025,-1.05,1.058,97.2,88.6,0
27,13:37:29,0.1,0,-1.025,1.03,95.7,90,0
28,13:37:30,0.1,-0.025,-1.075,1.08,95.7,88.6,0
29,13:37:31,0.125,-0.025,-1.05,1.058,97.2,88.6,0
30,13:37:32,0.15,0,-1.025,1.036,98.6,90,0
31,13:37:33,0.175,0,-1.025,1.04,100.1,90,0
32,13:37:34,0.175,0,-1.075,1.089,100.1,90,0
33,13:37:35,0.15,-0.025,-1.05,1.061,98.6,88.6,0
34,13:37:36,0.125,-0.075,-1.1,1.11,97.2,85.7,0
35,13:37:37,0.125,-0.075,-1.125,1.134,97.2,85.7,0
36,13:37:38,0.125,-0.025,-1.1,1.107,97.2,88.6,0
37,13:37:39,0.125,0.025,-1.025,1.033,97.2,91.4,0
38,13:37:40,0.15,0,-1.025,1.036,98.6,90,0
39,13:37:41,0.175,-0.025,-1.1,1.114,100.1,88.6,0
40,13:37:42,0.175,-0.075,-1.125,1.141,100.1,85.7,0
41,13:37:43,0.15,-0.025,-1.05,1.061,98.6,88.6,0
42,13:37:44,0.125,-0.025,-1.025,1.033,97.2,88.6,0
43,13:37:45,0.075,0,-1.075,1.078,94.3,90,0
44,13:37:46,0.1,-0.025,-1.075,1.08,95.7,88.6,0
45,13:37:47,0.125,0,-1.025,1.033,97.2,90,0
46,13:37:48,0.175,0,-1.025,1.04,100.1,90,0
47,13:37:49,0.175,0,-1.075,1.089,100.1,90,0
48,13:37:50,0.175,-0.075,-1.125,1.141,100.1,85.7,0
49,13:37:51,0.15,-0.075,-1.1,1.113,98.6,85.7,0
50,13:37:52,0.125,0,-1.025,1.033,97.2,90,0
51,13:37:53,0.1,0,-1.025,1.03,95.7,90,0
52,13:37:54,0.125,-0.025,-1.075,1.083,97.2,88.6,0
53,13:37:55,0.15,-0.025,-1.05,1.061,98.6,88.6,0
54,13:37:56,0.175,0,-1.025,1.04,100.1,90,0
55,13:37:57,0.175,0,-1.025,1.04,100.1,90,0
56,13:37:58,0.15,0,-1.05,1.061,98.6,90,0
57,13:37:59,0.15,-0.025,-1.1,1.11,98.6,88.6,0
58,13:38:00,0.125,-0.025,-1.1,1.107,97.2,88.6,0
59,13:38:01,0.1,-0.025,-1.075,1.08,95.7,88.6,0
