"CRUISE_ID","HAUL_ID","CRUISE","VESSEL","HAUL","EDIT_NET_SPREAD","EDIT_NET_HEIGHT","NET_SPREAD_PINGS","NET_SPREAD_METHOD","NET_SPREAD_STANDARD_DEVIATION","EDIT_NET_HEIGHT.1","NET_HEIGHT_METHOD","NET_HEIGHT_PINGS","NET_HEIGHT_STANDARD_DEVIATION","CREATE_DATE","CREATE_USER"
767,23133,202401,162,3,17.321512491698,7.0449257485136,0,4,0,7.0449257485136,4,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23134,202401,162,4,17.5576067482992,7.00828561257684,0,4,0,7.00828561257684,4,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23135,202401,162,5,18.1206657478318,6.73515005377435,0,4,0,6.73515005377435,4,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23144,202401,162,6,18.5,6.8,0,6,0,6.8,6,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23145,202401,162,7,18.5,6.6,0,6,0,6.6,6,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23146,202401,162,8,18.7,6.8,0,6,0,6.8,6,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23147,202401,162,9,19,6.6,0,6,0,6.6,6,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23148,202401,162,10,19,8.6,0,6,0,8.6,6,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23149,202401,162,11,17.291,6.512,244,6,1.94,6.512,6,1735,0.48,2024-09-27 13:24:24.399639,"ROHANS"
767,23150,202401,162,12,17.098,6.277,263,6,0.87,6.277,6,1713,0.57,2024-09-27 13:24:24.399639,"ROHANS"
767,23151,202401,162,13,17.456,7.983,212,6,2.23,7.983,6,1807,0.5,2024-09-27 13:24:24.399639,"ROHANS"
767,23156,202401,162,14,15.398,7.609,579,6,1.39,7.609,6,1728,0.29,2024-09-27 13:24:24.399639,"ROHANS"
767,23157,202401,162,15,17.4704154473367,6.95832179084486,129,4,1.39,6.95832179084486,4,0,0,2024-09-27 13:24:24.399639,"ROHANS"
767,23158,202401,162,16,17.586,7.499,439,6,0.97,7.499,6,500,0.62,2024-09-27 13:24:24.399639,"ROHANS"
767,23159,202401,162,17,16.605,7.185,511,6,1.08,7.185,6,1562,0.45,2024-09-27 13:24:24.399639,"ROHANS"
767,23901,202401,162,211,16.7739494196222,6.536,0,4,0,6.536,6,857,1.1,2024-09-27 13:24:24.399639,"ROHANS"
767,23902,202401,162,212,17.065083294746,7.07,0,4,0,7.07,6,1341,0.47,2024-09-27 13:24:24.399639,"ROHANS"
767,23903,202401,162,213,16.9012404278556,5.612,0,4,0,5.612,6,788,0.99,2024-09-27 13:24:24.399639,"ROHANS"
767,23904,202401,162,214,16.937,6.106,16,6,0.49,6.106,6,1548,0.61,2024-09-27 13:24:24.399639,"ROHANS"
767,23905,202401,162,215,17.004,6.495,285,6,1.43,6.495,6,1339,0.47,2024-09-27 13:24:24.399639,"ROHANS"
767,23906,202401,162,216,17.401,7.042,402,6,1.06,7.042,6,1269,0.27,2024-09-27 13:24:24.399639,"ROHANS"
767,23907,202401,162,217,17.591,6.745,351,6,1.86,6.745,6,1165,0.46,2024-09-27 13:24:24.399639,"ROHANS"
767,23920,202401,162,218,16.887,6.259,257,6,1.43,6.259,6,326,0.89,2024-09-27 13:24:24.399639,"ROHANS"
767,23921,202401,162,219,18.3220008919759,6.75180466101861,0,4,0,6.75180466101861,4,79,1.1,2024-09-27 13:24:24.399639,"ROHANS"
767,23922,202401,162,220,17.214005863717,7.163,0,4,0,7.163,6,1109,0.32,2024-09-27 13:24:24.399639,"ROHANS"
767,23923,202401,162,221,16.9154743118781,7.594,0,4,0,7.594,6,952,0.43,2024-09-27 13:24:24.399639,"ROHANS"
767,23924,202401,162,222,17.56,6.871,318,6,1.62,6.871,6,1753,0.37,2024-09-27 13:24:24.399639,"ROHANS"
767,23925,202401,162,223,18.132,6.538,302,6,1.42,6.538,6,1181,1.23,2024-09-27 13:24:24.399639,"ROHANS"
767,23926,202401,162,224,18.270262968744,6.76179742536514,484,4,1.62,6.76179742536514,4,1478,1.32,2024-09-27 13:24:24.399639,"ROHANS"
767,23927,202401,162,225,17.857,6.737,444,6,1.4,6.737,6,1802,0.41,2024-09-27 13:24:24.399639,"ROHANS"
767,23931,202401,162,226,17.644,6.872,389,6,1.39,6.872,6,1557,1.62,2024-09-27 13:24:24.399639,"ROHANS"
767,23932,202401,162,227,17.374,7.696,276,6,1.95,7.696,6,1164,0.41,2024-09-27 13:24:24.399639,"ROHANS"
767,23933,202401,162,228,17.816,7.425,425,6,1.87,7.425,6,1315,0.37,2024-09-27 13:24:24.399639,"ROHANS"
767,23934,202401,162,229,17.676,6.874,270,6,1.73,6.874,6,601,0.51,2024-09-27 13:24:24.399639,"ROHANS"
767,23935,202401,162,230,16.436,7.125,337,6,1.4,7.125,6,1240,0.76,2024-09-27 13:24:24.399639,"ROHANS"
767,23936,202401,162,231,18.328,7.231,332,6,1.57,7.231,6,674,0.69,2024-09-27 13:24:24.399639,"ROHANS"
767,23937,202401,162,232,17.714,5.193,477,6,1.87,5.193,6,30,3.83,2024-09-27 13:24:24.399639,"ROHANS"
