"date_time_nst","trial","trawl","bridles","bridle_length","footrope","benthic_bag","marport","ctd","floats_n","total_buoyancy_kgf","additional_floatation_kg","bcs_unit","catch","pulling_point_elevation_mm","bridle_u_length_m","bridle_l_length_m","sweep_length_m","u_bridle_extension_m","towing_speed_kn","door_m","spread_treatment","spread_u_wing_m","spread_m_wing_m","spread_l_wing_m","spread_mean_we_m","opening_wing_m","opening_headline_m","upper_wingend_height_m","lower_wingend_height_m","fishing_line_height_m","bridle_tension_port_t","bridle_tension_stbd_t","bridle_tension_total_t","mouth_area_m2","mouth_drag_kgf_m2","bridle_angle_deg"
NA,35,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,2,55.8,16,16,20.96,17.92,16.96,NA,6.4,4.7,NA,NA,1.2,1.3,2.6,117.3,22,8.7
NA,36,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,2.5,55.8,16,15.92,21.2,17.76,18.32,NA,5.68,4.6,NA,NA,1.8,1.9,3.7,104.2,35,8.8
NA,37,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,3,55.9,16,15.92,21.12,17.6,18.24,NA,5.04,3.6,NA,NA,2.4,2.5,5,91.7,54,8.8
NA,38,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,3.5,55.9,16,16,21.2,17.68,18.32,NA,4.24,3.1,NA,NA,3.2,3.1,6.3,76.8,82,8.8
NA,39,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,4,55.9,16,15.92,21.28,17.6,18.24,NA,3.52,3,NA,NA,3.8,3.7,7.4,64.7,115,8.8
NA,41,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,2.5,48.8,14.5,14.56,18.48,15.92,16.32,NA,6.4,4.8,NA,NA,1.9,1.9,3.8,105,36,7.6
NA,42,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,3,48.8,14.5,14.64,18.8,15.92,16.45,NA,5.92,4.3,NA,NA,2.6,2.6,5.2,97.7,53,7.6
NA,43,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,3.5,48.8,14.5,14.56,19.12,15.84,16.5,NA,5.2,3.9,NA,NA,3.3,3.3,6.6,85.7,77,7.6
NA,44,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,2.5,55.9,17.5,17.44,23.76,19.6,20.24,NA,4.8,3.5,NA,NA,2.5,2.5,5,90,55,8.8
NA,45,"PNE","standard","normal","PNE",FALSE,FALSE,FALSE,"16+4",215.7,0,NA,"empty",200,54.9,54.9,NA,NA,3,55.9,17.5,17.44,24.08,19.6,20.4,NA,4,3.4,NA,NA,2.4,2.5,5,89.6,55,8.8
