trial,rig,trawl,bridles,bridle_length_m,footrope,floats_n,total_buoyancy_kgf,additional_floatation_kg,pulling_point_elevation_mm,door_spread_m,bridle_u_length_m,bridle_l_length_m,sweep_length_m,u_bridle_extension_m,towing_speed_kn,door_m,spread_treatment,spread_u_wing_m,spread_m_wing_m,spread_l_wing_m,spread_mean_we_m,opening_wing_m,opening_headline_m,upper_wingend_height_m,lower_wingend_height_m,fishing_line_height_m,bridle_tension_port_t,bridle_tension_stbd_t,bridle_tension_total_t,mouth_area_m2,mouth_drag_kgf_m2,bridle_angle_deg,Comment
0,A,PNE,1.2a,54.9,EBS,,,,150,,,,,,3,,16,16,,,,,4.24,,,,,,,,,,"Rig A; Rigging prior to adjusting setback; height coming in low;  1 link middle (2.5""); 20"" bottom setback"
0,B,PNE,1.2b,54.9,EBS,,,,150,,,,,,3,,16,15.76,,,,,4.776,,,,,,,,,22.6,"Rig B; 20"" setback in the top, 10"" in the middle, 20"" bottom"
1,B,PNE,1.2b,54.9,EBS,,,,150,,,,,,2.5,,14.5,14.48,,,,,6.16,,,,,,,,,22.8,
2,B,PNE,1.2b,,EBS,,,,150,,,,,,3,,14.5,14.48,,,,,5.456,,,,,,,,,18.6,
3,B,PNE,1.2b,,EBS,,,,160,,,,,,3.5,,14.5,14.56,,,,,4.8,,,,,,,,,18.5,
4,B,PNE,1.2b,,EBS,,,,160,,,,,,2,,16,15.92,,,,,6.32,,,,,,,,,18.2,
5,B,PNE,1.2b,,EBS,,,,160,,,,,,2.5,,16,15.92,,,,,5.416,,,,,,,,,23.4,
6,B,PNE,1.2b,,EBS,,,,160,,,,,,3,,16,15.92,,,,,4.704,,,,,,,,,23.4,
7,B,PNE,1.2b,,EBS,,,,160,,,,,,3.5,,16,16.08,,,,,3.824,,,,,,,,,23.2,
8,B,PNE,1.2b,,EBS,,,,160,,,,,,4,,16,16.08,,,,,3.04,,,,,,,,,23.7,
9,C,PNE,1.2b,,EBS,,,,160,,,,,,2,,17.5,17.44,,,,,5.68,,,,,,,,,24.1,"Rig C;  20"" setback in the top, 10"" in the middle, 20"" bottom; truncated bridles (sweeps 75 cm)"
10,C,PNE,1.2b,,EBS,,,,160,,,,,,2.5,,17.5,17.44,,,,,4.888,,,,,,,,,30.5,
11,C,PNE,1.2b,,EBS,,,,160,,,,,,3,,17.5,17.52,,,,,3.904,,,,,,,,,31.4,
12,C,PNE,1.2b,,EBS,,,,160,,,,,,3.5,,17.5,17.52,,,,,3.32,,,,,,,,,30.8,
13,C,PNE,1.2b,,EBS,,,,160,,,,,,4,,17.5,17.44,,,,,2.784,,,,,,,,,27.6,
14,C,PNE,1.2b,,EBS,,,,160,,,,,,2.5,,19,18.96,,,,,4.24,,,,,,,,,36,
15,C,PNE,1.2b,,EBS,,,,160,,,,,,3,,19,18.96,,,,,3.488,,,,,,,,,36.9,
16,C,PNE,1.2b,,EBS,,,,160,,,,,,3.5,,19,19.12,,,,,2.728,,,,,,,,,37.2,
17,D,RACE,1,,GOA,,,,160,,,,,,2.5,,19,19.04,,,,,4.256,,,,,,,,,39.9,Rig D; truncated bridle (sweeps 50 cm); unusual behavior because of the extremely truncated bridles
18,D,RACE,1,,GOA,,,,160,,,,,,3,,19,18.96,,,,,3.704,,,,,,,,,39.2,Unusual behavior because of the extremely truncated bridles
19,D,RACE,1,,GOA,,,,160,,,,,,3.5,,19,18.96,,,,,3.2,,,,,,,,,39.1,Unusual behavior because of the extremely truncated bridles
20,E,RACE,1,,GOA,,,,160,,,,,,2,,17.5,17.6,,,,,5.704,,,,,,,,,33.2,Rig E; 75 cm sweeps
21,E,RACE,1,,GOA,,,,160,,,,,,2.5,,17.5,17.52,,,,,4.904,,,,,,,,,32.5,
22,E,RACE,1,,GOA,,,,160,,,,,,3,,17.5,17.52,,,,,4.168,,,,,,,,,33.1,
23,E,RACE,1,,GOA,,,,160,,,,,,3.5,,17.5,17.52,,,,,3.632,,,,,,,,,33.1,
24,E,RACE,1,,GOA,,,,160,,,,,,4,,17.5,17.52,,,,,3.12,,,,,,,,,32.7,
